,Descriptions
0,"Uses The Veins on odd turns, and Ice Bomb on even turns. If this boss loses 50% of its HP or more in one turn it will use Vengeful Void"
1,Some Ability idk
2," Zero twos revenge starts at half health loses 2 HP per turn, and if its health reaches full it is destroyed. All Damage dealt to Zero Twos Revenge deals 1.5 times that amount as piercing counter damage to all enemy creatures on the field. This ability cannot be negated. "
3,"Magolor soul immediately gains the abilities of all opponent LV 5 or below creatures that have killed one of your creatures. Magolor is immune to Condemned, and all insta-kill effects. This ability cannot be negated."
4,"Every Time an ability is used (not counting this one), Marx Wrath gains 2 ATK DEF and SPD until the end of the turn. This ability cannot be negated"
5,"(OPGT) (Activates before items can hit this creature) either pay 1 point to summon Bugzzy, 2 points to summon Ice dragon, or (OPG) 3 points to summon Masher. At least 3 lanes turns must end before another minion can be summoned. If this creature is at full health and were to die from an attack, it will survive with 0.5 HP instead.This ability cannot be negated or copied. "
6,When this creature attacks you can choose one de-buff to inflict with that attack: Frozen 1 turn Blazing 2 turns Paralyzed 2 turns Corruption 3 turns Can only use each de-buff (OPG).
7,(EOT) Gain ATK equal to 20% of the DMG your team took the previous global turn until the end of its turn. You can make a non-piercing attack against this creature piercing to deal 4 piercing damage to anything on the field.
8,(EOT) One of this creatures attacks inflicts 1 turn of Imprisoned. 
9,First turn and (EOT) One attack inflicts Frozen. (EOT) May place a Flame Bomb on itself.
10,1st turn and (EOT) summon a Matterling at (ENDT) (OPG)(OD) Revive with stats 3/2/5/7 and with the new ability: Attacks inflict 6 stacks of Hemorrhaging for 3 turns.
11,(ENDT) This creature gains +1 ATK and +1 SPD. After the end of this creature's 3rd turn on the field it is destroyed and deals 5 piercing damage to all opponent creatures on primary field.
12,"(EOT) This creatures first attack inflicts imprisoned for 1 turn. While this creature is imprisoning a creature, your teammates gain DEF equal to half of the imprisoned creatures DEF. (OD) This creature is revived with the stats 1/9/7/6. "
13,This creatures attacks deal life steal damage. While on the field the enemy team has 2 less max stars of item usage 
14,"(OPT) Pay 4 points to double This creatures ATK for its next attack. (OPT) You can pay 1 point to summon a Warrior Dee, this ability costs 1 extra point for each Warrior Dee on the field. "
15,"(OPGT) This card may intercept an attack or infliction, reducing the number of actions the intercepted creature has by 1 on their next turn, and you gain 2 points. (OPT) Pay 2 points to gain an action."
16,"This creature takes 3 counter damage each time it attacks. When this creature has 50% or less HP, attacking will attack each enemy creature."
17,"(OPGT) Until (ENDGT) you can: Pay 2 points to increase ATK straight to 10, Pay 1 point to increase SPD straight to 10, Pay 3 points to summon one Sword Knight (max 1 on field)."
18,"This creature takes piercing counter damage equal to the ATK -4.5 of any creature it attacks. While this creature is on the field, all friendly creatures except this one gain 2 DEF"
19,(OPT) You can spend up to 2 points to heal a friendly creature by 2.5 HP per point.
20,"When this creature attacks the other team, they lose 2 stars of item usage."
21,"If this creature is not attacked by the end of a global turn while on the field, it has +3 ATK next global turn. If this creature is attacked by a non-piercing attack, you can make that attack piercing and deal 5 piercing damage to any creature on the PF."
